============================================================================================================================================
DETAILED LINE-BY-LINE COMPARISON REPORT
REST API vs WebSocket - Every Symbol with Timestamps and Exact Values
============================================================================================================================================
Report Generated: 2025-12-03 00:57:57.909

Total USDT Perpetual Futures: 534

============================================================================================================================================
REST API BATCH CALL TIMING
============================================================================================================================================
Request Time:  2025-12-03 00:57:58.091
Response Time: 2025-12-03 00:57:58.240
Latency:       148.97 ms
Symbols Retrieved: 534

============================================================================================================================================
WEBSOCKET STATE FILE TIMING
============================================================================================================================================
Request Time:  2025-12-03 00:57:58.247
Response Time: 2025-12-03 00:57:58.249
Read Latency:  1.48 ms
Symbols Tracked: 534

============================================================================================================================================
DETAILED COMPARISON - ALL SYMBOLS
============================================================================================================================================

SYMBOL          REST FUNDING    WS FUNDING      FUNDING DIFF    REST PRICE      WS PRICE        PRICE DIFF      STATUS    
CETUSUSDT       0.00005000      0.00005000      0.0000        % $0.0284         $0.0284         0.0000        % ✅ MATCH   
CFXUSDT         0.00004047      0.00004047      0.0000        % $0.0741         $0.0741         0.0000        % ✅ MATCH   
CGPTUSDT        0.00005000      0.00005000      0.0000        % $0.0369         $0.0369         0.0000        % ✅ MATCH   
CHESSUSDT       0.00005000      0.00005000      0.0000        % $0.0274         $0.0274         0.0000        % ✅ MATCH   
CHILLGUYUSDT    0.00005000      0.00005000      0.0000        % $0.0204         $0.0204         0.0000        % ✅ MATCH   
CHRUSDT         0.00010000      0.00010000      0.0000        % $0.0544         $0.0544         0.0000        % ✅ MATCH   
CHZUSDT         0.00010000      0.00010000      0.0000        % $0.0303         $0.0303         0.0028        % ✅ MATCH   
CKBUSDT         -0.00027945     -0.00027945     0.0000        % $0.0026         $0.0026         0.0000        % ✅ MATCH   
CLANKERUSDT     0.00005000      0.00005000      0.0000        % $46.9317        $46.9256        0.0131        % ✅ MATCH   
CLOUSDT         0.00017533      0.00017533      0.0000        % $0.3361         $0.3361         0.0000        % ✅ MATCH   
COAIUSDT        0.00005000      0.00005000      0.0000        % $0.5219         $0.5219         0.0000        % ✅ MATCH   
COMMONUSDT      0.00008082      None            N/A             0.0048          0.000271        N/A             ⚠️ NULL   
COMPUSDT        -0.00198968     -0.00198968     0.0000        % $34.4900        $34.4900        0.0000        % ✅ MATCH   
COOKIEUSDT      0.00005000      0.00005000      0.0000        % $0.0551         $0.0551         0.0000        % ✅ MATCH   
COSUSDT         0.00005000      0.00005000      0.0000        % $0.0014         $0.0014         0.0000        % ✅ MATCH   
COTIUSDT        0.00010000      0.00010000      0.0000        % $0.0272         $0.0272         0.0002        % ✅ MATCH   
COWUSDT         0.00004990      0.00004990      0.0000        % $0.1922         $0.1922         0.0002        % ✅ MATCH   
CROSSUSDT       0.00016852      0.00016852      0.0000        % $0.1194         $0.1194         0.0000        % ✅ MATCH   
CRVUSDT         -0.00024005     None            N/A             0.3799          -0.005          N/A             ⚠️ NULL   
CTKUSDT         0.00005000      0.00005000      0.0000        % $0.2515         $0.2515         0.0000        % ✅ MATCH   
CTSIUSDT        0.00010000      0.00010000      0.0000        % $0.0399         $0.0399         0.0000        % ✅ MATCH   
CUDISUSDT       0.00005000      0.00005000      0.0000        % $0.0272         $0.0272         0.0000        % ✅ MATCH   
CUSDT           0.00005000      0.00005000      0.0000        % $0.0778         $0.0778         0.0000        % ✅ MATCH   
CVCUSDT         -0.00055255     -0.00055255     0.0000        % $0.0465         $0.0465         0.0002        % ✅ MATCH   
CVXUSDT         -0.00014000     -0.00014000     0.0000        % $1.7240         $1.7240         0.0000        % ✅ MATCH   
CYBERUSDT       -0.00029816     -0.00029816     0.0000        % $0.8842         $0.8842         0.0000        % ✅ MATCH   
DAMUSDT         0.00005000      0.00005000      0.0000        % $0.0215         $0.0215         0.0000        % ✅ MATCH   
DASHUSDT        -0.00098134     None            N/A             46.8900         -1.6            N/A             ⚠️ NULL   
DEEPUSDT        -0.00010275     -0.00010275     0.0000        % $0.0448         $0.0448         0.0000        % ✅ MATCH   
DEGENUSDT       0.00005000      None            N/A             0.0014          0.000252        N/A             ⚠️ NULL   
DEGOUSDT        0.00005000      0.00005000      0.0000        % $0.5774         $0.5774         0.0041        % ✅ MATCH   
DENTUSDT        -0.00011349     -0.00011349     0.0000        % $0.0003         $0.0003         0.0000        % ✅ MATCH   
DEXEUSDT        0.00005000      0.00005000      0.0000        % $3.9080         $3.9080         0.0000        % ✅ MATCH   
DFUSDT          0.00005000      0.00005000      0.0000        % $0.0137         $0.0137         0.0000        % ✅ MATCH   
DIAUSDT         0.00005000      0.00005000      0.0000        % $0.3374         $0.3374         0.0000        % ✅ MATCH   
DMCUSDT         0.00005000      0.00005000      0.0000        % $0.0017         $0.0017         0.0000        % ✅ MATCH   
DODOXUSDT       0.00005000      0.00005000      0.0000        % $0.0229         $0.0229         0.0000        % ✅ MATCH   
DOGEUSDT        0.00009670      None            N/A             0.1461          0.01052         N/A             ⚠️ NULL   
DOGSUSDT        -0.00067200     -0.00067200     0.0000        % $0.0000         $0.0000         0.0000        % ✅ MATCH   
DOLOUSDT        0.00005000      0.00005000      0.0000        % $0.0469         $0.0469         0.0000        % ✅ MATCH   
DOODUSDT        -0.00025539     -0.00025539     0.0000        % $0.0043         $0.0043         0.0000        % ✅ MATCH   
DOTUSDT         -0.00010466     -0.00010466     0.0000        % $2.2620         $2.2620         0.0000        % ✅ MATCH   
DRIFTUSDT       0.00005000      0.00005000      0.0000        % $0.2316         $0.2316         0.0000        % ✅ MATCH   
DUSDT           0.00005000      0.00005000      0.0000        % $0.0156         $0.0156         0.0000        % ✅ MATCH   
DUSKUSDT        -0.00055769     -0.00055769     0.0000        % $0.0441         $0.0441         0.0000        % ✅ MATCH   
DYDXUSDT        0.00010000      0.00010000      0.0000        % $0.2279         $0.2279         0.0000        % ✅ MATCH   
DYMUSDT         -0.00163699     None            N/A             0.0876          0.0008          N/A             ⚠️ NULL   
EDENUSDT        0.00005000      0.00005000      0.0000        % $0.0735         $0.0735         0.0000        % ✅ MATCH   
EDUUSDT         0.00009508      0.00009508      0.0000        % $0.1633         $0.1633         0.0000        % ✅ MATCH   
EGLDUSDT        0.00008161      0.00008161      0.0000        % $7.4063         $7.4063         0.0000        % ✅ MATCH   
EIGENUSDT       0.00005000      0.00005000      0.0000        % $0.5620         $0.5620         0.0000        % ✅ MATCH   
ENAUSDT         0.00002319      None            N/A             0.2689          0.0282          N/A             ⚠️ NULL   
ENJUSDT         0.00000118      None            N/A             0.0317          0.00208         N/A             ⚠️ NULL   
ENSOUSDT        0.00005000      0.00005000      0.0000        % $0.7403         $0.7403         0.0000        % ✅ MATCH   
ENSUSDT         0.00010000      0.00010000      0.0000        % $11.5964        $11.5964        0.0000        % ✅ MATCH   
EPICUSDT        0.00005000      0.00005000      0.0000        % $0.5739         $0.5739         0.0000        % ✅ MATCH   
EPTUSDT         0.00005000      0.00005000      0.0000        % $0.0022         $0.0022         0.0000        % ✅ MATCH   
ERAUSDT         0.00005000      0.00005000      0.0000        % $0.2446         $0.2446         0.0000        % ✅ MATCH   
ESPORTSUSDT     0.00005000      0.00005000      0.0000        % $0.3970         $0.3971         0.0302        % ✅ MATCH   
ETCUSDT         0.00010000      0.00010000      0.0000        % $13.6060        $13.6060        0.0000        % ✅ MATCH   
ETHFIUSDT       0.00005000      0.00005000      0.0000        % $0.8421         $0.8421         0.0051        % ✅ MATCH   
ETHUSDT         0.00004217      None            N/A             2999.6100       206.99          N/A             ⚠️ NULL   
ETHWUSDT        0.00005000      0.00005000      0.0000        % $0.5859         $0.5859         0.0000        % ✅ MATCH   
EULUSDT         -0.00008359     -0.00008359     0.0000        % $4.1770         $4.1770         0.0000        % ✅ MATCH   
EVAAUSDT        0.00007164      None            N/A             0.8785          0.021           N/A             ⚠️ NULL   
FARTCOINUSDT    -0.00014519     None            N/A             0.3516          0.0304          N/A             ⚠️ NULL   
FETUSDT         0.00010000      0.00010000      0.0000        % $0.2556         $0.2556         0.0019        % ✅ MATCH   
FFUSDT          0.00005000      0.00005000      0.0000        % $0.1153         $0.1153         0.0000        % ✅ MATCH   
FHEUSDT         0.00005000      0.00005000      0.0000        % $0.0157         $0.0157         0.0000        % ✅ MATCH   
FIDAUSDT        0.00005000      0.00005000      0.0000        % $0.0464         $0.0464         0.0000        % ✅ MATCH   
FILUSDT         0.00010000      None            N/A             1.5348          0.054           N/A             ⚠️ NULL   
FIOUSDT         0.00005000      0.00005000      0.0000        % $0.0121         $0.0121         0.0000        % ✅ MATCH   
FISUSDT         0.00005000      0.00005000      0.0000        % $0.0408         $0.0408         0.0000        % ✅ MATCH   
FLOCKUSDT       0.00005000      0.00005000      0.0000        % $0.1276         $0.1276         0.0000        % ✅ MATCH   
FLOWUSDT        0.00010000      0.00010000      0.0000        % $0.2275         $0.2275         0.0000        % ✅ MATCH   
FLUIDUSDT       -0.00080184     -0.00080184     0.0000        % $3.0000         $3.0000         0.0000        % ✅ MATCH   
FLUXUSDT        -0.00019517     -0.00019517     0.0000        % $0.1107         $0.1107         0.0000        % ✅ MATCH   
FOLKSUSDT       0.00005000      0.00005000      0.0000        % $11.7800        $11.7800        0.0000        % ✅ MATCH   
FORMUSDT        0.00005000      0.00005000      0.0000        % $0.3482         $0.3482         0.0000        % ✅ MATCH   
FORTHUSDT       0.00005000      0.00005000      0.0000        % $1.6193         $1.6193         0.0002        % ✅ MATCH   
FUNUSDT         0.00005000      0.00005000      0.0000        % $0.0023         $0.0023         0.0000        % ✅ MATCH   
FUSDT           0.00005000      0.00005000      0.0000        % $0.0081         $0.0081         0.0000        % ✅ MATCH   
FXSUSDT         -0.00042756     -0.00042756     0.0000        % $0.8253         $0.8253         0.0000        % ✅ MATCH   
GALAUSDT        0.00010000      None            N/A             0.0075          0.00073         N/A             ⚠️ NULL   
